Drug,Medium,Donor,run,Day,class,relative_abundance,relative_abundance_log10
5-fluorouracil,MGAM,MB001,run3,day 4,c__Acidimicrobiia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Acidithiobacillia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Acidobacteriia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Actinobacteria,6.763095316011082e-4,-3.1692128126371975
5-fluorouracil,MGAM,MB001,run3,day 4,c__Alphaproteobacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Aminomonas aminovorus[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Anaerolineae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Aquificae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Bacilli,2.8361367454240023e-4,-3.545744237647246
5-fluorouracil,MGAM,MB001,run3,day 4,c__Bacteroidetes Order II. Incertae sedis[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Bacteroidia,0.3229487095577808,-0.490865101699899
5-fluorouracil,MGAM,MB001,run3,day 4,c__Balneolia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Betaproteobacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Blastocatellia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Caldilineae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Caldisericia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Calditrichae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Chitinophagia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Chlamydiia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Chlorobia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Chloroflexia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Chroococcales[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Chroococcidiopsidales[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Chrysiogenetes,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Clostridia,0.20832515216964462,-0.6812562075844627
5-fluorouracil,MGAM,MB001,run3,day 4,c__Coriobacteriia,0.13220760520976504,-0.8787402765183783
5-fluorouracil,MGAM,MB001,run3,day 4,c__Cytophagia,2.1816436503261558e-5,-4.641752183222668
5-fluorouracil,MGAM,MB001,run3,day 4,c__Deferribacteres,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Dehalococcoidia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Deinococci,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Deltaproteobacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Dictyoglomia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Elusimicrobia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Epsilonproteobacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Erysipelotrichia,2.1816436503261556e-4,-3.6592300584349005
5-fluorouracil,MGAM,MB001,run3,day 4,c__Fibrobacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Flavobacteriia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Fusobacteriia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Gammaproteobacteria,0.3317625499050985,-0.4791713306222537
5-fluorouracil,MGAM,MB001,run3,day 4,c__Gemmatimonadetes,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Gloeobacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Halobacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Holophagae,4.3632873006523116e-5,-4.3503451568359095
5-fluorouracil,MGAM,MB001,run3,day 4,c__Ignavibacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Ktedonobacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Lentisphaeria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Methanobacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Methanomicrobia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Methylacidiphilae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Mollicutes,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Negativicutes,1.0908218251630778e-4,-3.958282968594457
5-fluorouracil,MGAM,MB001,run3,day 4,c__Nitriliruptoria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Nitrospira,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Nostocales[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Opitutae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Oscillatoriales[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Planctomycetia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Pleurocapsales[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Rubrobacteria,0,-6
