Drug,Medium,Donor,run,Day,phylum,relative_abundance,relative_abundance_log10
5-fluorouracil,MGAM,MB001,run3,day 4,p__Acidobacteria,4.3632873006523116e-5,-4.3503451568359095
5-fluorouracil,MGAM,MB001,run3,day 4,p__Actinobacteria,0.13316752841590854,-0.8755983994168075
5-fluorouracil,MGAM,MB001,run3,day 4,p__Aquificae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Bacteroidetes,0.32314505748631017,-0.4906011382787837
5-fluorouracil,MGAM,MB001,run3,day 4,p__Balneolaeota,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Caldiserica,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Calditrichaeota,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Chlamydiae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Chlorobi,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Chloroflexi,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Chrysiogenetes,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Crenarchaeota,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Cyanobacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Deferribacteres,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Deinococcus-Thermus,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Dictyoglomi,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Elusimicrobia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Euryarchaeota,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Fibrobacteres,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Firmicutes,0.20913236032026528,-0.6795766843158185
5-fluorouracil,MGAM,MB001,run3,day 4,p__Fusobacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Gemmatimonadetes,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Ignavibacteriae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Lentisphaerae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Nitrospirae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Planctomycetes,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Proteobacteria,0.3320679800161442,-0.4787716918121156
5-fluorouracil,MGAM,MB001,run3,day 4,p__Spirochaetes,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Synergistetes,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Tenericutes,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Thermobaculum[phylum],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Thermodesulfobacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Thermotogae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__Verrucomicrobia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__marine bacterium SIMO-4474[phylum],2.1816436503261558e-5,-4.641752183222668
5-fluorouracil,MGAM,MB001,run3,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,p__phototrophic bacterium[phylum],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Acidobacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Actinobacteria,0.04160197375417402,-1.3808756251696528
5-fluorouracil,MGAM,MB002,run3,day 4,p__Aquificae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Bacteroidetes,0.1626220303294553,-0.7888179505209281
5-fluorouracil,MGAM,MB002,run3,day 4,p__Balneolaeota,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Caldiserica,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Calditrichaeota,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Chlamydiae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Chlorobi,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Chloroflexi,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Chrysiogenetes,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Crenarchaeota,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Cyanobacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Deferribacteres,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Deinococcus-Thermus,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Dictyoglomi,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Elusimicrobia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Euryarchaeota,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Fibrobacteres,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Firmicutes,0.49888338260629134,-0.30200009127843885
5-fluorouracil,MGAM,MB002,run3,day 4,p__Fusobacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Gemmatimonadetes,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Ignavibacteriae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Lentisphaerae,2.1268902737307782e-5,-4.6523011815682285
5-fluorouracil,MGAM,MB002,run3,day 4,p__Nitrospirae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Planctomycetes,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Proteobacteria,0.2951060254801455,-0.5300204513236895
